IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE
2021,"BUCKEYE PARTNERS, LP",40.5121785,-74.2919789,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,OTHER
2021,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.945081,-96.760319,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"PLAINS PIPELINE, L.P.",31.599108,-103.17198,CRUDE OIL,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"PLAINS PIPELINE, L.P.",32.993863,-102.790247,CRUDE OIL,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,31.878745,-102.125956,CRUDE OIL,NO,CARBON STEEL,OVERFILL OR OVERFLOW
2021,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.944806,-96.764764,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"NUSTAR LOGISTICS, L.P.",34.99138,-106.6579,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,E&B NATURAL RESOURCES MANAGEMENT CORP,35.00564,-118.3705,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,30.63015,-96.256562,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"MAGELLAN TERMINALS HOLDINGS, LP",35.946747,-96.743018,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,31.76948,-99.88618,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"BUCKEYE PARTNERS, LP",42.273747,-83.404856,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,29.61136,-95.18487,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,"SFPP, LP",33.845486,-118.23015,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,34.575483,-100.383136,CRUDE OIL,YES,CARBON STEEL,MECHANICAL PUNCTURE
2021,"SFPP, LP",33.23804,-115.504465,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",41.568256,-109.978172,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,29.61504,-95.18286,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",29.792991,-95.281093,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,"MAGELLAN PIPELINE COMPANY, LP",43.135925,-93.352762,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"PLAINS PIPELINE, L.P.",31.766045,-103.167426,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,40.608277,-74.221761,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",36.12478,-96.00645,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"MAGELLAN PIPELINE COMPANY, LP",33.832361,-98.2779,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"SUMMIT MIDSTREAM PARTNERS, LLC",48.805078,-103.617502,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,"KINDER MORGAN LIQUID TERMINALS, LLC",40.5234,-74.25591,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"BUCKEYE PARTNERS, LP",39.122008,-94.438407,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,CENEX PIPELINE LLC,48.22844,-101.3672,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,KERN OIL & REFINING CO.,35.287192,-119.21433,CRUDE OIL,YES,CARBON STEEL,OTHER
2021,"CCPS TRANSPORTATION, LLC",39.00528141,-93.5577358,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,CENTURION PIPELINE L.P.,32.00544,-102.041,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,MID - VALLEY PIPELINE CO,32.485514,-94.832977,CRUDE OIL,NO,CARBON STEEL,OVERFILL OR OVERFLOW
2021,"BUCKEYE PARTNERS, LP",40.61783,-74.21257,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,32.07707,-96.57279,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,MIPC LLC,40.005542,-75.158569,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,MECHANICAL PUNCTURE
2021,CENTURION PIPELINE L.P.,32.0022,-102.04707,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,"DELEK CRUDE LOGISTICS, LLC.",32.50209,-94.84941,CRUDE OIL,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,WEST COAST TERMINAL PIPELINE  (WCTP),33.803663,-118.233568,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"MAGELLAN PIPELINE COMPANY, LP",41.684012,-91.570311,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,29.8542,-94.8917,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"MEDALLION OPERATING COMPANY, LLC",31.635009,-101.983946,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,PRODUCTS (SE) PIPE LINE CORPORATION,33.28874,-86.831283,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,ZENITH ENERGY WEST COAST TERMINALS LLC,33.764578,-118.227986,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",48.212719,-96.435103,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"SCM PR, LLC",43.648024,-105.641906,CRUDE OIL,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER
2021,"FLINT HILLS RESOURCES, LC",27.815376,-97.488726,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"BUCKEYE PARTNERS, LP",40.56227,-74.244121,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"PLAINS MARKETING, L.P.",38.794956,-89.069044,CRUDE OIL,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
