,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
3064,2013,"HARVEST-MARKS PIPELINE, LLC",29.36586,-89.34615,CRUDE OIL,3.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,29.36586,-89.34615,0.09,nearest_place,,,,,Pilottown,LA,Plaquemines Parish,70081,US,TIGER/Line® dataset from the US Census Bureau,2.0
3164,2013,"PETROLOGISTICS OLEFINS, LLC",30.155076,-91.563535,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5.0,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,30.155076,-91.563535,0.05,nearest_place,,,,,Catahoula,LA,St. Martin Parish,70582,US,TIGER/Line® dataset from the US Census Bureau,5.0
3182,2013,CHEVRON PETROCHEMICAL PIPELINE LLC,30.060572,-93.5581,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.0,17825.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,30.060572,-93.5581,0.05,nearest_place,,,,,Vinton,LA,Calcasieu Parish,70668,US,TIGER/Line® dataset from the US Census Bureau,17825.0
3200,2013,CHEVRON U.S.A. INC,29.10788,-90.16212,CRUDE OIL,0.01,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,29.10788,-90.16212,0.04,nearest_place,,,,,Grand Isle,LA,Lafourche Parish,70358,US,TIGER/Line® dataset from the US Census Bureau,0.01
3242,2013,"PLAINS MARKETING, L.P.",30.0038889,-90.8547222,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,NO,,LEAK,SEAL OR PACKING,30.003505,-90.854768,1.0,rooftop,6665,Plains Terminal Rd,,,Saint James,LA,St. James Parish,70086,US,St James,0.0
3250,2013,"HARVEST-MARKS PIPELINE, LLC",29.31589,-89.28764,CRUDE OIL,125.0,0.0,55.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,29.31589,-89.28764,0.1,nearest_place,,,,,Pilottown,LA,Plaquemines Parish,70081,US,TIGER/Line® dataset from the US Census Bureau,70.0
3256,2013,LOOP LLC,29.44778,-90.26972,CRUDE OIL,7.6,0.0,7.6,NO,,NO,,YES,CARBON STEEL,OTHER,,29.44778,-90.26972,0.22,nearest_place,,,,,Galliano,LA,Lafourche Parish,70354,US,TIGER/Line® dataset from the US Census Bureau,0.0
3261,2013,ENTERPRISE PRODUCTS OPERATING LLC,29.82961,-91.001564,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,29.841,-91.01019,0.9,nearest_street,3117,Supreme Rd,,,Napoleonville,LA,Assumption Parish,70390,US,TIGER/Line® dataset from the US Census Bureau,1.0
3289,2013,CITGO PETROLEUM CORPORATION (REFINERY),30.18348,-93.3292,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2.9,0.0,0.0,NO,,NO,,YES,,LEAK,PINHOLE,30.183796,-93.325346,0.95,nearest_street,3598,Cities Service Hwy,,,Westlake,LA,Calcasieu Parish,70669,US,TIGER/Line® dataset from the US Census Bureau,2.9
3301,2013,"PETROLOGISTICS OLEFINS, LLC",30.2304266,-91.03874,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,9.0,500.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,30.230427,-91.03874,0.16,nearest_place,,,,,Saint Gabriel,LA,Ascension Parish,70776,US,TIGER/Line® dataset from the US Census Bureau,509.0
3309,2013,COLONIAL PIPELINE CO,30.71263,-91.28181,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,3.42,0.0,3.42,NO,,NO,,NO,,LEAK,SEAL OR PACKING,30.716977,-91.28196,0.95,nearest_street,1289,Tom Mills Ln,,,Jackson,LA,East Feliciana Parish,70748,US,TIGER/Line® dataset from the US Census Bureau,0.0
3315,2013,"PLAINS PIPELINE, L.P.",31.525701,-91.768142,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,31.525448,-91.768663,1.0,rooftop,239,Live Oak Rd,,,Monterey,LA,Concordia Parish,71354,US,Concordia,0.0
3327,2013,CHEVRON MIDSTREAM PIPELINES LLC,29.633617,-90.1741,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,23702.0,1061.0,0.0,YES,1.0,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,29.633617,-90.1741,0.09,nearest_place,,,,,Barataria,LA,Lafourche Parish,70036,US,TIGER/Line® dataset from the US Census Bureau,24763.0
3334,2013,"SHELL PIPELINE CO., L.P.",30.10556,-92.88889,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,30.111953,-92.878107,0.91,nearest_street,6300,Clyde Rd,,,Welsh,LA,Jefferson Davis Parish,70591,US,TIGER/Line® dataset from the US Census Bureau,0.0
3351,2013,COLLINS PIPELINE CO,30.087494,-89.928927,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.0,0.0,0.0,NO,,NO,,,CARBON STEEL,LEAK,SEAL OR PACKING,30.081488,-89.91876,0.93,nearest_street,,I 10,,,New Orleans,LA,Orleans Parish,70101,US,TIGER/Line® dataset from the US Census Bureau,0.0
3357,2013,EXXONMOBIL PIPELINE CO,29.253809,-89.967529,CRUDE OIL,0.87,0.0,0.87,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,29.254867,-89.966454,0.99,rooftop,143,Heliport,,,Grand Isle,LA,Jefferson Parish,70358,US,Jefferson Parish,0.0
3417,2013,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,32.70298,-92.54888,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.68,0.0,3.68,NO,,NO,,NO,,LEAK,OTHER,32.698855,-92.542621,0.93,nearest_street,2282,Parish Rd 5,,,Dubach,LA,Lincoln Parish,71235,US,TIGER/Line® dataset from the US Census Bureau,0.0
3430,2012,PLANTATION PIPE LINE CO,30.54741,-90.16677,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,8.33,0.0,8.33,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,30.546697,-90.16619,0.98,nearest_street,77000,Sharp Rd,,,Covington,LA,St. Tammany Parish,70435,US,TIGER/Line® dataset from the US Census Bureau,0.0
3444,2012,EXXONMOBIL REFINING AND SUPPLY COMPANY,30.479042,-91.202633,CRUDE OIL,0.3,0.0,0.3,NO,,NO,,NO,,LEAK,CONNECTION FAILURE,30.478588,-91.202693,0.98,nearest_street,149,Vicknair St,,,Port Allen,LA,West Baton Rouge Parish,70767,US,TIGER/Line® dataset from the US Census Bureau,0.0
3457,2012,"SHELL PIPELINE CO., L.P.",30.15735228,-93.04560277,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,329.0,4925.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,30.16211,-93.051681,0.93,nearest_street,4726,Nick Martone Rd,,,Iowa,LA,Calcasieu Parish,70647,US,TIGER/Line® dataset from the US Census Bureau,5254.0
3460,2012,COLONIAL PIPELINE CO,30.909265,-90.871663,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.65,0.0,2.65,NO,,NO,,YES,,OVERFILL OR OVERFLOW,,30.908756,-90.872154,0.98,nearest_street,7588,Parish Rd 8-137,,,Clinton,LA,East Feliciana Parish,70722,US,TIGER/Line® dataset from the US Census Bureau,0.0
3479,2012,PHILLIPS 66 PIPELINE LLC,30.160197,-93.030086,CRUDE OIL,0.59,0.0,0.59,NO,,NO,,YES,,LEAK,SEAL OR PACKING,30.160197,-93.030086,0.09,nearest_place,,,,,Iowa,LA,Calcasieu Parish,70647,US,TIGER/Line® dataset from the US Census Bureau,0.0
3494,2012,"PLAINS PIPELINE, L.P.",32.23587,-91.62582,CRUDE OIL,1.5,0.0,1.5,NO,,NO,,YES,,LEAK,PINHOLE,32.236754,-91.617052,0.93,nearest_street,378,Deer Creek Rd,,,Winnsboro,LA,Franklin Parish,71295,US,TIGER/Line® dataset from the US Census Bureau,0.0
3507,2012,EXXONMOBIL PIPELINE CO,29.422222,-89.99,CRUDE OIL,0.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,29.422222,-89.99,0.04,nearest_place,,,,,Grand Isle,LA,Jefferson Parish,70358,US,TIGER/Line® dataset from the US Census Bureau,0.0
3508,2012,EXXONMOBIL PIPELINE CO,30.006667,-90.856111,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,,,OVERFILL OR OVERFLOW,,30.007161,-90.856713,1.0,rooftop,6741,Locap Rd,,,Saint James,LA,St. James Parish,70086,US,St James,0.0
3516,2012,EXXONMOBIL PIPELINE CO,29.726669,-90.592643,CRUDE OIL,59.7,0.0,59.7,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,29.726327,-90.5938,0.99,rooftop,4065,Hwy,,,Raceland,LA,Lafourche Parish,70394,US,Lafourche Parish G,0.0
3538,2012,CHEVRON MIDSTREAM PIPELINES LLC,30.056,-91.1357,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.75,0.01,0.0,NO,,NO,,YES,,LEAK,OTHER,30.056,-91.1357,0.13,nearest_place,,,,,Belle Rose,LA,Iberville Parish,70341,US,TIGER/Line® dataset from the US Census Bureau,3.76
3540,2012,"SHELL PIPELINE CO., L.P.",30.1150416,-90.9009944,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.95,0.0,0.95,NO,,NO,,NO,,LEAK,SEAL OR PACKING,30.11411,-90.910857,0.92,nearest_street,3100,State Rte 44,,,Darrow,LA,St. James Parish,70725,US,TIGER/Line® dataset from the US Census Bureau,0.0
3546,2012,CHEVRON PIPE LINE CO,29.485,-89.4441666,CRUDE OIL,0.02,0.0,0.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER,29.485,-89.444167,0.07,nearest_place,,,,,Carlisle,LA,Plaquemines Parish,70042,US,TIGER/Line® dataset from the US Census Bureau,0.02
3553,2012,"SHELL PIPELINE CO., L.P.",29.1049,-90.1919,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,NO,,OTHER,,29.105286,-90.191304,0.98,nearest_street,124,Chevron Rd,,,Golden Meadow,LA,Lafourche Parish,70357,US,TIGER/Line® dataset from the US Census Bureau,0.0
3595,2012,"SHELL PIPELINE CO., L.P.",30.15683,-90.853719,CRUDE OIL,50.0,0.0,50.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,,30.164253,-90.852709,0.95,nearest_street,,I 10,,,Sorrento,LA,Ascension Parish,70778,US,TIGER/Line® dataset from the US Census Bureau,0.0
3596,2012,COLONIAL PIPELINE CO,30.90944,-90.87166,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.36,0.0,0.36,NO,,NO,,,,LEAK,OTHER,30.908756,-90.872154,0.98,nearest_street,7588,Parish Rd 8-137,,,Clinton,LA,East Feliciana Parish,70722,US,TIGER/Line® dataset from the US Census Bureau,0.0
3598,2012,"SHELL PIPELINE CO., L.P.",30.1571,-93.0463,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,15.67,0.0,0.0,NO,,NO,,YES,CARBON STEEL,OTHER,,30.161778,-93.052032,0.93,nearest_street,4734,Nick Martone Rd,,,Iowa,LA,Calcasieu Parish,70647,US,TIGER/Line® dataset from the US Census Bureau,15.67
3628,2012,"SHELL PIPELINE CO., L.P.",30.008992,-90.854975,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,,CARBON STEEL,OTHER,,30.008993,-90.854058,0.99,rooftop,6525,Energy Rd,,,Saint James,LA,St. James Parish,70086,US,St James,0.0
3659,2012,"SHELL PIPELINE CO., L.P.",30.0064,-90.4013,CRUDE OIL,0.6,0.0,0.6,NO,,NO,,NO,,LEAK,SEAL OR PACKING,30.00703,-90.408096,0.94,nearest_street,1013,5th St,,,Norco,LA,St. Charles Parish,70079,US,TIGER/Line® dataset from the US Census Bureau,0.0
3666,2012,EXXONMOBIL PIPELINE CO,30.554483,-91.457458,CRUDE OIL,2880.0,0.0,2000.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,30.550435,-91.458627,0.95,nearest_street,11241,US Hwy 190,,,Oscar,LA,Pointe Coupee Parish,70762,US,TIGER/Line® dataset from the US Census Bureau,880.0
3684,2012,EXXONMOBIL PIPELINE CO,30.492551,-91.187577,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.23,0.0,0.23,NO,,NO,,NO,,OVERFILL OR OVERFLOW,,30.492855,-91.188476,0.99,rooftop,248,Gulf States Utilities Rd,,,Baton Rouge,LA,East Baton Rouge Parish,70805,US,East Baton Rouge Parish,0.0
3685,2012,EXXONMOBIL PIPELINE CO,30.010536,-90.861846,CRUDE OIL,5.5,0.0,5.5,NO,,NO,,YES,CARBON STEEL,OTHER,,30.010504,-90.861521,1.0,rooftop,6804,Exxon Rd,,,Saint James,LA,St. James Parish,70086,US,St James,0.0
3717,2012,"PLAINS PIPELINE, L.P.",29.274667,-89.952333,CRUDE OIL,204.0,0.0,189.0,NO,,NO,,NO,CARBON STEEL,MECHANICAL PUNCTURE,,29.265238,-89.955855,0.92,nearest_street,3,Paratus Pl,,,Grand Isle,LA,Jefferson Parish,70358,US,TIGER/Line® dataset from the US Census Bureau,15.0
3720,2012,DIXIE PIPELINE COMPANY LLC,30.5187,-91.4012,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,4.3,0.0,0.0,NO,,NO,,NO,,LEAK,OTHER,30.51825,-91.401386,0.98,nearest_street,3583,Bells Ln,,,Port Allen,LA,West Baton Rouge Parish,70767,US,TIGER/Line® dataset from the US Census Bureau,4.3
3731,2012,CHEVRON PIPE LINE CO,29.3736,-89.5514,CRUDE OIL,0.17,0.0,0.17,NO,,NO,,NO,CARBON STEEL,MECHANICAL PUNCTURE,,29.364225,-89.554254,0.92,nearest_street,100,Tanglewood Loop,,,Buras,LA,Plaquemines Parish,70041,US,TIGER/Line® dataset from the US Census Bureau,0.0
3735,2012,MOTIVA ENTERPRISE LLC,29.95115,-93.5722,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.16,0.0,0.16,NO,,NO,,YES,,OTHER,,29.95115,-93.5722,0.04,nearest_place,,,,,Hackberry,LA,Cameron Parish,70645,US,TIGER/Line® dataset from the US Census Bureau,0.0
3754,2012,CONOCOPHILLIPS,30.239319,-93.268658,CRUDE OIL,0.83,0.0,0.83,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,30.237774,-93.268442,0.99,nearest_street,,I 10,,,Westlake,LA,Calcasieu Parish,70669,US,TIGER/Line® dataset from the US Census Bureau,0.0
3758,2012,EXXONMOBIL PIPELINE CO,30.01612,-90.865628,CRUDE OIL,0.45,0.0,0.45,NO,,NO,,NO,,OTHER,,30.01612,-90.865628,0.42,nearest_place,,,,,Saint James,LA,St. James Parish,70086,US,TIGER/Line® dataset from the US Census Bureau,0.0
3775,2012,"SHELL PIPELINE CO., L.P.",30.011111,-90.838889,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,NO,,LEAK,CRACK,30.011318,-90.839849,0.99,rooftop,6441,Hwy 18,,,Saint James,LA,St. James Parish,70086,US,St James,0.0
3791,2012,CONOCOPHILLIPS,30.158686,-93.339919,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,,,OTHER,,30.158016,-93.342567,0.96,nearest_street,2252,Davison Rd,,,Sulphur,LA,Calcasieu Parish,70665,US,TIGER/Line® dataset from the US Census Bureau,0.0
3813,2011,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,30.796962,-91.919893,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.06,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,30.796962,-91.919893,0.1,nearest_place,,,,,Palmetto,LA,St. Landry Parish,71358,US,TIGER/Line® dataset from the US Census Bureau,3.06
3829,2011,ENTERPRISE PRODUCTS OPERATING LLC,30.16485,-93.35127,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,85.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,30.168965,-93.350809,0.95,nearest_street,5500,State Rte 1133,,,Sulphur,LA,Calcasieu Parish,70663,US,TIGER/Line® dataset from the US Census Bureau,85.0
3842,2011,CONOCOPHILLIPS,30.239269,-93.290375,CRUDE OIL,0.95,0.0,0.85,NO,,NO,,,,LEAK,OTHER,30.237163,-93.288533,0.96,nearest_street,3082,US Hwy 90,,,Westlake,LA,Calcasieu Parish,70669,US,TIGER/Line® dataset from the US Census Bureau,0.09999999999999998
3844,2011,CHEVRON PETROCHEMICAL PIPELINE LLC,30.355333,-92.708299,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.23,500.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,30.355141,-92.70562,0.96,nearest_street,22235,Raymond Hwy,,,Jennings,LA,Jefferson Davis Parish,70546,US,TIGER/Line® dataset from the US Census Bureau,500.23
3886,2011,CHEVRON MIDSTREAM PIPELINES LLC,29.70989,-90.25945,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.43,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,29.70989,-90.25945,0.05,nearest_place,,,,,Lafitte,LA,St. Charles Parish,70067,US,TIGER/Line® dataset from the US Census Bureau,3.43
3896,2011,CHEVRON PIPE LINE CO,29.26536,-88.77223,CRUDE OIL,0.09,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,29.26536,-88.77223,0.01,nearest_place,,,,,Pilottown,LA,,70081,US,TIGER/Line® dataset from the US Census Bureau,0.09
3919,2011,EXXONMOBIL PIPELINE CO,30.055571,-91.062652,CRUDE OIL,18.7,0.0,11.2,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,30.058637,-91.057042,0.94,nearest_street,374,Tigerville Rd,,,Amelia,LA,Assumption Parish,70340,US,TIGER/Line® dataset from the US Census Bureau,7.5
3941,2011,PLANTATION PIPE LINE CO,30.5471,-91.1703,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.28,0.0,0.28,NO,,NO,,,,LEAK,SEAL OR PACKING,30.544801,-91.169637,0.96,nearest_street,2200,Blount Rd,,,Baton Rouge,LA,East Baton Rouge Parish,70807,US,TIGER/Line® dataset from the US Census Bureau,0.0
3954,2011,CHEVRON PIPE LINE CO,29.238862,-89.384553,CRUDE OIL,2.0,0.0,2.0,NO,,NO,,YES,CARBON STEEL,OTHER,,29.231712,-89.388835,0.93,nearest_street,1581,Tidewater Rd,,,Venice,LA,Plaquemines Parish,70091,US,TIGER/Line® dataset from the US Census Bureau,0.0
3968,2011,MID - VALLEY PIPELINE CO,32.9491,-93.1679,CRUDE OIL,1.0,0.0,0.0,NO,,NO,,YES,,LEAK,SEAL OR PACKING,32.948873,-93.168144,1.0,rooftop,249,Mid Valley Dr,,,Haynesville,LA,Claiborne Parish,71038,US,Claiborne,1.0
3979,2011,ENTERPRISE PRODUCTS OPERATING LLC,30.452391,-93.464003,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,12.0,0.0,10.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,30.45325,-93.460963,0.96,nearest_street,899,Smith St,,,Dequincy,LA,Calcasieu Parish,70633,US,TIGER/Line® dataset from the US Census Bureau,2.0
