,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
1089,2018,"KINDER MORGAN LIQUID TERMINALS, LLC",40.59241,-74.21251,BIOFUEL / ALTERNATIVE FUEL(INCLUDING ETHANOL BLENDS),0.01,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,40.588879,-74.212054,0.95,nearest_street,71,Lafayette St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,0.01
1151,2018,COLONIAL PIPELINE CO,39.817181,-75.200486,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.4,0.0,0.4,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,,39.818183,-75.198997,0.99,rooftop,700,Mantua Grove Rd,,,West Deptford,NJ,Gloucester County,8066,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
1234,2018,"BUCKEYE PARTNERS, LP",40.602687,-74.239096,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,0.0,0.5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,40.602687,-74.239096,1.0,rooftop,2650,Marshes Dock Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
1304,2017,COLONIAL PIPELINE CO,40.5768,-74.2491,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,10.33,0.0,10.33,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,,40.575644,-74.248229,0.99,nearest_street,,I 95,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,0.0
1317,2017,"BUCKEYE PARTNERS, LP",40.54894482,-74.26054003,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.38,0.0,0.38,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.54919,-74.260574,1.0,rooftop,25,Arbor St,,,Sewaren,NJ,Middlesex County,7077,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
1323,2017,"BUCKEYE PARTNERS, LP",40.608257,-74.238076,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,,40.607799,-74.238613,1.0,rooftop,1001,Lower Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
1436,2017,"BUCKEYE PARTNERS, LP",40.61248618,-74.24019281,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.0,0.0,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,40.613012,-74.241009,0.99,rooftop,730,Lower Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
1580,2017,"KINDER MORGAN LIQUID TERMINALS, LLC",40.58889,-74.21437,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.38,0.0,2.38,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,40.588879,-74.212054,0.97,nearest_street,44,Lafayette St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,0.0
1615,2017,INTERSTATE STORAGE & PIPELINE C0,40.03268611,-74.67861111,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,9.5,0.0,9.5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,40.03279,-74.678946,0.99,nearest_street,2285,Saylors Pond Rd,,,Jobstown,NJ,Burlington County,8041,US,TIGER/Line® dataset from the US Census Bureau,0.0
1709,2016,"KINDER MORGAN LIQUID TERMINALS, LLC",40.59064,-74.21945,CRUDE OIL,1.19,0.0,1.19,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.587227,-74.218749,0.95,nearest_street,65,Beverly St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,0.0
