,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2782,2014,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",42.05679,-88.49732,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,YES,,LEAK,SEAL OR PACKING,42.056838,-88.497092,1.0,rooftop,45W412,Plank Rd,,,Hampshire,IL,Kane County,60140,US,Kane,0.0
2847,2014,LACLEDE GAS CO,38.680985,-90.183432,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.05,10.0,0.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,38.68268,-90.182622,0.96,nearest_street,200,Bissell St,,,Granite City,IL,Madison County,62040,US,TIGER/Line® dataset from the US Census Bureau,10.05
2881,2014,PHILLIPS 66 PIPELINE LLC,38.581933,-90.188644,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.19,0.0,0.0,NO,,NO,,NO,,LEAK,SEAL OR PACKING,38.579484,-90.183253,0.94,nearest_street,83,Industrial Dr,,,East Saint Louis,IL,St. Clair County,62206,US,TIGER/Line® dataset from the US Census Bureau,0.19
2890,2014,WEST SHORE PIPELINE CO,42.024045,-87.951209,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.0,0.0,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,42.024098,-87.951999,1.0,rooftop,39,8th Ave,,,Arlington Heights,IL,Cook County,60005,US,Cook,0.0
2917,2014,"BUCKEYE PARTNERS, LP",41.14364,-87.902235,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,25.0,0.0,16.62,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,41.14384,-87.901683,1.0,rooftop,1701,Indian Trl,,,Kankakee,IL,Kankakee County,60901,US,Kankakee,8.379999999999999
2918,2014,"BUCKEYE PARTNERS, LP",41.14364,-87.902235,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.0,0.0,5.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,41.14384,-87.901683,1.0,rooftop,1701,Indian Trl,,,Kankakee,IL,Kankakee County,60901,US,Kankakee,0.0
2956,2014,MARATHON PIPE LINE LLC,38.863322,-89.958939,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,0.0,0.2,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,38.863554,-89.959659,0.98,nearest_street,5625,State Rte 159,,,Edwardsville,IL,Madison County,62025,US,TIGER/Line® dataset from the US Census Bureau,0.0
2963,2014,ENTERPRISE PRODUCTS OPERATING LLC,37.643839,-88.878198,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.28,0.0,0.28,NO,,NO,,NO,,LEAK,SEAL OR PACKING,37.643153,-88.878672,0.99,rooftop,3134,Doron Rd,,,Creal Springs,IL,Williamson County,62922,US,Williamson,0.0
2965,2014,MOBIL  PIPE  LINE COMPANY,38.776587,-89.084633,CRUDE OIL,0.26,0.0,0.26,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,38.777007,-89.086569,0.97,nearest_street,8278,US Hwy 51,,,Patoka,IL,Marion County,62875,US,TIGER/Line® dataset from the US Census Bureau,0.0
3029,2014,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",41.55694,-87.88556,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,41.557119,-87.884202,0.97,nearest_street,10887,183rd St,,,Mokena,IL,Will County,60448,US,TIGER/Line® dataset from the US Census Bureau,0.0
3031,2013,MARATHON PIPE LINE LLC,38.829252,-90.089749,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,50.0,0.0,50.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,38.829198,-90.091224,0.97,nearest_street,500,S Olive Ave,,,Hartford,IL,Madison County,62048,US,TIGER/Line® dataset from the US Census Bureau,0.0
3049,2013,MARATHON PIPE LINE LLC,38.7893921,-89.06510432,CRUDE OIL,0.1,0.0,0.1,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,38.789271,-89.0679,0.96,nearest_street,8670,Farthing Rd,,,Vernon,IL,Marion County,62892,US,TIGER/Line® dataset from the US Census Bureau,0.0
3083,2013,EXPLORER PIPELINE CO,39.70736769,-89.17722989,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.17,0.0,1.17,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,39.706866,-89.17709,1.0,rooftop,2454,N 1900 East Rd~,,,Blue Mound,IL,Christian County,62513,US,Christian,0.0
3132,2013,MARATHON PIPE LINE LLC,39.3271159,-87.8981323,CRUDE OIL,273.0,0.0,273.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,39.326963,-87.899163,0.98,nearest_street,12284,N 600th St,,,Martinsville,IL,Clark County,62442,US,TIGER/Line® dataset from the US Census Bureau,0.0
