,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
1244,2018,"SFPP, LP",34.0617989,-117.6257663,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.3,0,0.3,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,34.062837,-117.625599,0.99,rooftop,1322,E Holt Blvd,,,Ontario,CA,San Bernardino County,91761,US,San Bernardino,0
1319,2017,"SFPP, LP",38.003958,-122.055376,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.35,0,0.35,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,38.003019,-122.055144,0.99,rooftop,5625,Imhoff Dr,,,Concord,CA,Contra Costa County,94520,US,Contra Costa,0
1335,2017,CRIMSON PIPELINE L.P.,33.757825,-118.111294,CRUDE OIL,100,0,100,NO,,NO,,NO,CARBON STEEL,MECHANICAL PUNCTURE,,33.757618,-118.111288,1,rooftop,6280,E 2nd St,,,Long Beach,CA,Los Angeles County,90803,US,Los Angeles,0
1341,2017,"SFPP, LP",37.332321,-120.574568,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.19,0,0.19,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,37.332136,-120.574333,1,rooftop,3044,N Buhach Rd,,,Atwater,CA,Merced County,95301,US,Merced,0
1374,2017,TORRANCE VALLEY PIPELINE COMPANY LLC,34.860589,-118.880706,CRUDE OIL,35,0,35,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,34.861667,-118.879679,0.97,nearest_street,2611,Lebec Rd,,,Lebec,CA,Kern County,93243,US,TIGER/Line® dataset from the US Census Bureau,0
1395,2017,TORRANCE VALLEY PIPELINE COMPANY LLC,34.860589,-118.880706,CRUDE OIL,11.21,0,11.21,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,34.861667,-118.879679,0.97,nearest_street,2611,Lebec Rd,,,Lebec,CA,Kern County,93243,US,TIGER/Line® dataset from the US Census Bureau,0
1401,2017,CRIMSON PIPELINE L.P.,34.3762,-118.790892,CRUDE OIL,0.3,0,0.3,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,34.388902,-118.798019,0.9,nearest_street,3584,E Guiberson Rd,,,Fillmore,CA,Ventura County,93015,US,TIGER/Line® dataset from the US Census Bureau,0
1446,2017,"SFPP, LP",37.940135,-122.376323,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,11.1,0,11.1,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,37.941424,-122.377691,0.99,rooftop,525,Castro St,,,Richmond,CA,Contra Costa County,94801,US,Contra Costa,0
1496,2017,"PLAINS MARKETING, L.P.",35.054057,-119.31482,CRUDE OIL,24,0,20,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,35.053826,-119.313707,0.97,nearest_street,884,Basic School Rd,,,Maricopa,CA,Kern County,93252,US,TIGER/Line® dataset from the US Census Bureau,4
1499,2017,"SHELL PIPELINE CO., L.P.",35.649592,-119.745399,CRUDE OIL,1.4,0,1.4,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,35.649592,-119.745399,0.12,nearest_place,,,,,Lost Hills,CA,Kern County,93249,US,TIGER/Line® dataset from the US Census Bureau,0
