,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2133,2015,"BKEP PIPELINE, LLC",35.139732,-96.632111,CRUDE OIL,225.0,0.0,211.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,35.145244,-96.634911,0.94,nearest_street,12899,Ns 3580th Rd,,,Seminole,OK,Seminole County,74868,US,TIGER/Line® dataset from the US Census Bureau,14.0
2138,2015,"CHAPARRAL ENERGY, LLC",36.79693,-96.663049,CO2 (CARBON DIOXIDE),1181.0,0.0,0.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,36.801733,-96.671523,0.92,nearest_street,599,County Rd 4677,,,Shidler,OK,Osage County,74652,US,TIGER/Line® dataset from the US Census Bureau,1181.0
2158,2015,"MAGELLAN PIPELINE COMPANY, LP",36.54928,-97.33609,CRUDE OIL,632.0,0.0,581.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,36.54995,-97.34538,0.95,nearest_street,,I 35,,,Billings,OK,Noble County,74630,US,TIGER/Line® dataset from the US Census Bureau,51.0
2165,2015,"CHAPARRAL ENERGY, LLC",36.605085,-100.446363,CO2 (CARBON DIOXIDE),6.0,980.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,36.605085,-100.446363,0.05,nearest_place,,,,,Knowles,OK,Beaver County,73847,US,TIGER/Line® dataset from the US Census Bureau,986.0
2176,2015,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.95902,-96.75327,CRUDE OIL,0.29,0.0,0.29,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OVERFILL OR OVERFLOW,,35.956672,-96.754438,0.96,nearest_street,1032,E0730 Rd,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2223,2015,ENTERPRISE PRODUCTS OPERATING LLC,36.735435,-102.460064,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,20.0,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,36.735435,-102.460064,0.18,nearest_place,,,,,Boise City,OK,Cimarron County,73933,US,TIGER/Line® dataset from the US Census Bureau,20.0
2259,2015,ENTERPRISE CRUDE PIPELINE LLC,34.5401306,-97.5401306,CRUDE OIL,30.0,0.0,30.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,34.540131,-97.540131,0.08,nearest_place,,,,,Countyline,OK,Garvin County,73425,US,TIGER/Line® dataset from the US Census Bureau,0.0
2261,2015,ROSE ROCK MIDSTREAM L.P.,35.93784934,-96.71795726,CRUDE OIL,20.0,0.0,20.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,35.940768,-96.713794,0.94,nearest_street,740728,N3530 Rd,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2266,2015,"CHAPARRAL ENERGY, LLC",36.800991,-96.642259,CO2 (CARBON DIOXIDE),28.0,1033.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,36.800991,-96.642259,0.3,nearest_place,,,,,Shidler,OK,Osage County,74652,US,TIGER/Line® dataset from the US Census Bureau,1061.0
2314,2015,CENTURION PIPELINE L.P.,34.89285,-99.03776,CRUDE OIL,400.0,0.0,300.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,34.884997,-99.043309,0.92,nearest_street,22149,E1470 Rd,,,Roosevelt,OK,Kiowa County,73564,US,TIGER/Line® dataset from the US Census Bureau,100.0
