2017,ATLANTA GAS LIGHT CO,GA,34.241614,-85.266947,NATURAL GAS,323.51,
2013,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,KS,38.85453,-94.70529,NATURAL GAS,1425,
2018,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,KS,39.058136,-94.909503,NATURAL GAS,75,
2010,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,KS,39.34519444,-95.10539167,NATURAL GAS,290,
2016,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,KS,37.85146,-101.8998325,NATURAL GAS,45420,
2016,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,CO,40.48225405,-106.8241032,NATURAL GAS,30,
2012,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),KY,37.333513,-85.333451,NATURAL GAS,0.15,
2019,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),KY,37.127205,-88.757613,NATURAL GAS,3.8,
2019,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),TN,36.59283,-82.18895,NATURAL GAS,0,
2011,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),TN,36.12345,-83.16789,NATURAL GAS,10,
2016,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),TN,35.94208,-86.65972,NATURAL GAS,68,
2014,ATMOS ENERGY CORPORATION - LOUISIANA,LA,30.459133,-90.123614,NATURAL GAS,,
2018,ATMOS ENERGY CORPORATION - LOUISIANA,LA,29.90064,-90.3881,NATURAL GAS,9.7,
2016,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.07963,-96.47521,NATURAL GAS,0,
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.70225,-96.55512,NATURAL GAS,10,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.94559754,-96.62117925,NATURAL GAS,435,
2015,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.73761,-96.65918,NATURAL GAS,47,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,33.00731805,-96.68221731,NATURAL GAS,884.3,0
2014,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.727443,-96.683248,NATURAL GAS,17.7,
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,30.52648,-96.71029,NATURAL GAS,70,
2015,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.34912,-96.78448,NATURAL GAS,1595,
2017,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.78189,-96.79212,NATURAL GAS,105,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,33.04269314,-96.80544499,NATURAL GAS,927.3,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.84759,-96.80673,NATURAL GAS,207,0
2017,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.76861,-96.81201,NATURAL GAS,1828,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.73449576,-96.82257394,NATURAL GAS,2163,
2017,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.7914,-96.8285,,1,
2019,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.813889,-96.846389,NATURAL GAS,1651,
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.868106,-96.859732,NATURAL GAS,1.14,0.04
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.87923,-96.94119,NATURAL GAS,36.5,
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.8511,-96.9504,NATURAL GAS,465,
2019,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.82939889,-96.95211393,NATURAL GAS,556.1,
2019,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.80855,-96.96016,NATURAL GAS,555,
2013,ATMOS ENERGY CORPORATION - MID-TEX,TX,33.0463,-96.98908,NATURAL GAS,515,
2010,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.8541,-96.99403,NATURAL GAS,,
2013,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.45059,-97.00451,NATURAL GAS,2.19,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,33.05693,-97.01127,NATURAL GAS,15.3,
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.82089613,-97.02651041,NATURAL GAS,416.06,
2017,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.902032,-97.041499,NATURAL GAS,2082,
2015,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.29973,-97.04576,NATURAL GAS,2100,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.69147696,-97.06108939,NATURAL GAS,3140.5,0
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.73395668,-97.09631264,NATURAL GAS,46,
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.74607,-97.09763,NATURAL GAS,200,
2010,ATMOS ENERGY CORPORATION - MID-TEX,TX,31.67165,-97.10032,NATURAL GAS,1363,
2013,ATMOS ENERGY CORPORATION - MID-TEX,TX,33.61885,-97.14789,NATURAL GAS,31,
2018,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.8157,-97.17772,NATURAL GAS,47.9,
2013,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.842312,-97.209967,NATURAL GAS,33,
2019,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.7319078,-97.2451167,NATURAL GAS,467,
2016,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.96057,-97.24778,NATURAL GAS,20000,
2017,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.75828,-97.32871,NATURAL GAS,5408,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.73388311,-97.35241204,NATURAL GAS,38308,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.57850952,-97.35308635,NATURAL GAS,66.6,
2011,ATMOS ENERGY CORPORATION - MID-TEX,TX,32.80772,-97.44253,NATURAL GAS,98,
2019,ATMOS ENERGY CORPORATION - MID-TEX,TX,30.660434,-97.69123,NATURAL GAS,106.6,
2016,ATMOS ENERGY CORPORATION - MID-TEX,TX,30.68552,-97.71607,NATURAL GAS,1578,
2020,ATMOS ENERGY CORPORATION - MID-TEX,TX,31.12097,-97.8713,NATURAL GAS,51,
2010,ATMOS ENERGY CORPORATION - MID-TEX,TX,33.893734,-98.529339,NATURAL GAS,,
2019,ATMOS ENERGY CORPORATION - MID-TEX,TX,33.498349,-99.687506,NATURAL GAS,5160,
2014,ATMOS ENERGY CORPORATION - MISSISSIPPI,MS,33.05555,-89.6013,NATURAL GAS,2,
2019,ATMOS ENERGY CORPORATION - MISSISSIPPI,MS,32.33212,-90.26573,NATURAL GAS,1479,
2014,ATMOS ENERGY CORPORATION - MISSISSIPPI,MS,32.34174,-90.27477,NATURAL GAS,3,
2018,ATMOS ENERGY CORPORATION - WEST TEXAS,TX,35.236628,-101.724335,NATURAL GAS,1059,
2010,ATMOS ENERGY CORPORATION - WEST TEXAS,TX,35.23153,-101.81651,NATURAL GAS,6,
2014,ATMOS ENERGY CORPORATION - WEST TEXAS,TX,35.2065,-102.07238,NATURAL GAS,2699,
2015,ATMOS ENERGY CORPORATION - WEST TEXAS,TX,31.982191,-102.1121304,NATURAL GAS,557,
2018,ATMOS ENERGY CORPORATION - WEST TEXAS,TX,31.88333,-102.30167,NATURAL GAS,42,
2018,ATMOS ENERGY CORPORATION - WEST TEXAS,TX,34.828607,-102.370766,NATURAL GAS,3708,
2015,AVISTA CORP,ID,48.271908,-116.556563,NATURAL GAS,0.1,
2010,AVISTA CORP,ID,47.68005653,-116.8069518,NATURAL GAS,4.49,
2012,AVISTA CORP,ID,46.42374,-117.02699,NATURAL GAS,411,
2013,AVISTA CORP,WA,47.68826996,-117.3931186,NATURAL GAS,39.22,
2011,AVISTA CORP,WA,47.33258,-118.685117,NATURAL GAS,,
2010,AVISTA CORP,OR,42.18004,-122.66162,NATURAL GAS,114,
2020,AVISTA CORP,OR,42.221879,-122.817256,NATURAL GAS,16.67,
2014,BALTIMORE GAS & ELECTRIC CO,MD,39.296749,-76.579084,,1,
2011,BALTIMORE GAS & ELECTRIC CO,MD,39.2701769,-76.59675143,NATURAL GAS,512,
2012,BALTIMORE GAS & ELECTRIC CO,MD,39.281787,-76.657506,NATURAL GAS,0,
2012,BALTIMORE GAS & ELECTRIC CO,MD,39.038275,-76.6732055,NATURAL GAS,2053.43,
