IYEAR,NAME,OPERATOR_CITY_NAME,OPERATOR_STATE_ABBREVIATION,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,32.0004,-102.2698,CRUDE OIL,4,,4,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,
2021,"WILLIAMS OLEFINS FEEDSTOCK PIPELINES, LLC",TULSA,OK,30.31126,-92.8779,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,17,0,0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE
2021,MOBIL  PIPE  LINE COMPANY,SPRING,TX,30.067191,-94.708063,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.14,0,0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,PHILLIPS 66 PIPELINE LLC,HOUSTON,TX,36.79052,-97.5923,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.19,0,0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,SUNOCO PIPELINE L.P.,HOUSTON,TX,32.070282,-96.474712,CRUDE OIL,10,,10,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE
2021,"MAGELLAN PIPELINE COMPANY, LP",TULSA,OK,36.130839,-96.024393,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5,,5,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK
2021,"FLINT HILLS RESOURCES, LC",WICHITA,KS,29.280951,-97.778427,CRUDE OIL,60,,2,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,"SHELL PIPELINE CO., L.P.",HOUSTON,TX,29.715556,-95.180556,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,42,,42,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,29.348466,-94.938936,CRUDE OIL,1,,1,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER
2021,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",HOUSTON,TX,42.812771,-83.387771,CRUDE OIL,0.12,,0.12,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
