,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
793,2019,WYOMING PIPELINE COMPANY,43.82592,-104.32507,CRUDE OIL,142.0,,142.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,43.82592,-104.32507,0.04,nearest_place,,,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
842,2019,"PLAINS PIPELINE, L.P.",42.85147,-106.35547,CRUDE OIL,48.0,,40.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,42.850135,-106.357255,0.99,rooftop,202,Casper View Ct,,,Casper,WY,Natrona County,82604,US,Statewide
861,2019,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",41.537,-109.369,CO2 (CARBON DIOXIDE),0.61,29.24,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,41.537,-109.369,0.1,nearest_place,,,,,Green River,WY,Sweetwater County,82935,US,TIGER/Line® dataset from the US Census Bureau
894,2018,SUNCOR ENERGY (USA) PIPELINE CO.,42.22539,-104.685771,CRUDE OIL,12.0,,12.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,42.22661,-104.68469,0.97,nearest_street,219,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
947,2018,"PLAINS PIPELINE, L.P.",41.131109,-104.709265,CRUDE OIL,1.2,,1.2,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,41.134767,-104.70451,0.96,nearest_street,,I 80,,,Cheyenne,WY,Laramie County,82007,US,TIGER/Line® dataset from the US Census Bureau
980,2018,"MAGELLAN PIPELINE COMPANY, LP",42.856918,-106.2481,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,,0.5,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,42.856656,-106.247893,1.0,rooftop,5200,Yellowstone Hwy,,,Evansville,WY,Natrona County,82636,US,Natrona
1050,2018,BELLE FOURCHE PIPELINE CO,44.256628,-105.063408,CRUDE OIL,2.0,,2.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,44.256446,-105.062902,1.0,rooftop,221,Donkey Creek Oilfield Rd,,,Moorcroft,WY,Crook County,82721,US,City of Sundance
1067,2018,"PLAINS PIPELINE, L.P.",43.795866,-108.175754,CRUDE OIL,1.25,,1.25,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,43.801349,-108.181098,0.93,nearest_street,1398,S Bryan St,,,Kirby,WY,Hot Springs County,82430,US,TIGER/Line® dataset from the US Census Bureau
1080,2018,"MAGELLAN PIPELINE COMPANY, LP",41.10586,-104.833856,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.12,,0.12,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,41.107199,-104.833211,0.99,rooftop,1112,S Parsley Blvd,,,Cheyenne,WY,Laramie County,82007,US,Laramie
1229,2018,BUTTE PIPELINE CO,42.22553,-104.694565,CRUDE OIL,60.0,,45.0,NO,,NO,,NO,CARBON STEEL,OTHER,,42.226627,-104.694751,0.97,nearest_street,162,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
1279,2018,"EXPRESS HOLDINGS (USA), LLC",42.22607,-104.69298,CRUDE OIL,0.22,,0.22,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,42.22663,-104.69353,0.98,nearest_street,168,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
1309,2017,WYOMING PIPELINE COMPANY,43.66692,-105.06688,CRUDE OIL,33.0,,33.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,43.66457,-105.067597,0.96,nearest_street,4450,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
1333,2017,WILLIAMS FIELD SERVICES,41.773061,-110.345088,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.57,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,41.773061,-110.345088,0.14,nearest_place,,,,,Opal,WY,Lincoln County,83124,US,TIGER/Line® dataset from the US Census Bureau
1357,2017,"PLAINS PIPELINE, L.P.",41.10592,-107.63881,CRUDE OIL,18.0,,18.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,41.10592,-107.63881,0.08,nearest_place,,,,,Baggs,WY,Carbon County,82321,US,TIGER/Line® dataset from the US Census Bureau
1373,2017,"PLAINS PIPELINE, L.P.",42.210771,-104.50558,CRUDE OIL,2949.0,,2672.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,42.210302,-104.511795,0.94,nearest_street,401,State St,,,Fort Laramie,WY,Goshen County,82212,US,TIGER/Line® dataset from the US Census Bureau
1376,2017,MARATHON PIPE LINE LLC,44.679531,-108.359569,CRUDE OIL,4.0,,4.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,44.679531,-108.359569,0.05,nearest_place,,,,,Lovell,WY,Big Horn County,82431,US,TIGER/Line® dataset from the US Census Bureau
1386,2017,"PLAINS PIPELINE, L.P.",42.851162,-106.356422,CRUDE OIL,320.0,,305.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,42.850108,-106.357561,0.99,rooftop,202,Casper View Ct,,,Mills,WY,Natrona County,82644,US,Natrona
1394,2017,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",41.87991,-110.045,CO2 (CARBON DIOXIDE),28.75,1724.84,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,41.87991,-110.045,0.04,nearest_place,,,,,Opal,WY,Sweetwater County,83124,US,TIGER/Line® dataset from the US Census Bureau
1400,2017,WYOMING PIPELINE COMPANY,43.67014,-105.00036,CRUDE OIL,0.5,,0.5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,43.658901,-105.002694,0.91,nearest_street,4256,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
1431,2017,WYOMING REFINING CO,43.84866,-104.21487,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,,0.47,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,43.849329,-104.214996,1.0,rooftop,740,W Main St,,,Newcastle,WY,Weston County,82701,US,Statewide
1517,2017,TESORO LOGISTICS ROCKIES,41.58111,-110.05099,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,4.3,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,41.58111,-110.05099,0.05,nearest_place,,,,,Little America,WY,Lincoln County,82929,US,TIGER/Line® dataset from the US Census Bureau
1554,2017,"EXPRESS HOLDINGS (USA), LLC",43.968026,-107.874062,CRUDE OIL,16.0,,16.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OVERFILL OR OVERFLOW,,43.968026,-107.874062,0.04,nearest_place,,,,,Worland,WY,Washakie County,82401,US,TIGER/Line® dataset from the US Census Bureau
1587,2017,"EXPRESS HOLDINGS (USA), LLC",42.2243735,-104.692557,CRUDE OIL,1.0,,0.5,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,42.226619,-104.69159,0.96,nearest_street,174,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
1627,2017,BELLE FOURCHE PIPELINE CO,43.952778,-104.393333,CRUDE OIL,12.0,,11.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,43.953831,-104.393852,0.99,rooftop,3611,Hwy 16,,,Newcastle,WY,Weston County,82701,US,Statewide
1641,2017,SINCLAIR TRANSPORTATION COMPANY,42.859002,-106.407154,CRUDE OIL,150.0,,140.0,NO,,NO,,NO,CARBON STEEL,OTHER,,42.859878,-106.407073,0.99,rooftop,5800,Chapman Pl,,,Casper,WY,Natrona County,82604,US,Natrona
1724,2016,WYOMING PIPELINE COMPANY,43.78846666,-104.41595,CRUDE OIL,191.0,,191.0,NO,,NO,,YES,CARBON STEEL,OTHER,,43.791087,-104.417061,0.96,nearest_street,930,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
1776,2016,WYOMING PIPELINE COMPANY,43.78813056,-104.414856,CRUDE OIL,2.0,,2.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.7912,-104.416693,0.95,nearest_street,922,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
1779,2016,"PLAINS PIPELINE, L.P.",42.308506,-107.872722,CRUDE OIL,575.0,,575.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,42.308506,-107.872722,0.04,nearest_place,,,,,Jeffrey City,WY,Fremont County,82310,US,TIGER/Line® dataset from the US Census Bureau
1794,2016,"MAGELLAN PIPELINE COMPANY, LP",41.108002,-104.83329,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1800.0,,505.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,41.107199,-104.833211,0.99,rooftop,1112,S Parsley Blvd,,,Cheyenne,WY,Laramie County,82007,US,Laramie
1796,2016,"MAGELLAN PIPELINE COMPANY, LP",41.10621,-104.83589,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,,0.2,NO,,NO,,YES,CARBON STEEL,OTHER,,41.102281,-104.838624,0.94,nearest_street,1700,Broken Bit Rd,,,Cheyenne,WY,Laramie County,82007,US,TIGER/Line® dataset from the US Census Bureau
2005,2016,BUTTE PIPELINE CO,42.22588,-104.69196,CRUDE OIL,6.0,,5.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,42.226619,-104.69159,0.98,nearest_street,174,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
2008,2016,"PLAINS PIPELINE, L.P.",42.20813,-104.51255,CRUDE OIL,61.0,,61.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,42.207335,-104.511682,0.99,rooftop,1543,US Highway 26,,,Fort Laramie,WY,Goshen County,82212,US,Goshen
2015,2016,"PLAINS PIPELINE, L.P.",42.20813,-104.51255,CRUDE OIL,0.64,,0.64,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,42.207335,-104.511682,0.99,rooftop,1543,US Highway 26,,,Fort Laramie,WY,Goshen County,82212,US,Goshen
2067,2016,WYOMING PIPELINE COMPANY,43.825646,-104.32478,CRUDE OIL,80.0,,80.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,43.825646,-104.32478,0.04,nearest_place,,,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2076,2016,"PLAINS PIPELINE, L.P.",42.12294,-104.30346,CRUDE OIL,0.36,,0.36,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,42.11123,-104.296828,0.91,nearest_street,3725,US Hwy 26,,,Torrington,WY,Goshen County,82240,US,TIGER/Line® dataset from the US Census Bureau
2097,2016,WILLIAMS FIELD SERVICES,41.6514111,-107.8231666,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.1,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,RUPTURE,,41.651411,-107.823167,0.06,nearest_place,,,,,Wamsutter,WY,Carbon County,82336,US,TIGER/Line® dataset from the US Census Bureau
2147,2015,ENTERPRISE PRODUCTS OPERATING LLC,41.34767937,-110.8201483,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.2,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,41.347679,-110.820148,0.06,nearest_place,,,,,Evanston,WY,Uinta County,82931,US,TIGER/Line® dataset from the US Census Bureau
2154,2015,ENTERPRISE PRODUCTS OPERATING LLC,41.38284113,-110.822251,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.2,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,41.382841,-110.822251,0.05,nearest_place,,,,,Evanston,WY,Uinta County,82931,US,TIGER/Line® dataset from the US Census Bureau
2155,2015,ENTERPRISE PRODUCTS OPERATING LLC,41.39281106,-110.8225257,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.2,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,41.392811,-110.822526,0.05,nearest_place,,,,,Evanston,WY,Uinta County,82931,US,TIGER/Line® dataset from the US Census Bureau
2162,2015,ENTERPRISE PRODUCTS OPERATING LLC,41.437931,-110.814522,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.2,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,41.437931,-110.814522,0.04,nearest_place,,,,,Evanston,WY,Uinta County,82931,US,TIGER/Line® dataset from the US Census Bureau
2168,2015,WYOMING PIPELINE COMPANY,43.67297971,-104.9547281,CRUDE OIL,20.0,,20.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.67298,-104.954728,0.02,nearest_place,,,,,Upton,WY,Weston County,82730,US,TIGER/Line® dataset from the US Census Bureau
2172,2015,WYOMING PIPELINE COMPANY,43.94200833,-104.6112278,CRUDE OIL,20.0,,20.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.942008,-104.611228,0.86,nearest_place,,,,,Upton,WY,Weston County,82730,US,TIGER/Line® dataset from the US Census Bureau
2173,2015,WYOMING PIPELINE COMPANY,43.72077,-104.659061,CRUDE OIL,4.0,,4.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.71011,-104.652025,0.91,nearest_street,2312,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2175,2015,WYOMING PIPELINE COMPANY,43.87591331,-104.519774,CRUDE OIL,9.0,,5.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,43.875913,-104.519774,0.14,nearest_place,,,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2204,2015,WYOMING PIPELINE COMPANY,43.84702,-104.4775,CRUDE OIL,1.0,,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,43.84702,-104.4775,0.11,nearest_place,,,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2207,2015,WYOMING PIPELINE COMPANY,43.788025,-104.4166,CRUDE OIL,0.12,,0.12,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,43.790644,-104.418535,0.95,nearest_street,933,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2211,2015,WYOMING PIPELINE COMPANY,43.78913,-104.41707,CRUDE OIL,8.0,,8.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,MECHANICAL PUNCTURE,,43.790644,-104.418535,0.96,nearest_street,933,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2212,2015,"PLAINS PIPELINE, L.P.",41.056079,-111.043003,CRUDE OIL,0.15,,0.15,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,41.056079,-111.043003,0.03,nearest_place,,,,,Evanston,WY,Uinta County,82931,US,TIGER/Line® dataset from the US Census Bureau
2221,2015,WYOMING PIPELINE COMPANY,43.842033,-104.25655,CRUDE OIL,1.0,,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,43.844904,-104.255122,0.95,nearest_street,67,Eberspecher Rd,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2253,2015,"THUNDER BASIN PIPELINE, LLC",42.917984,-105.240693,CRUDE OIL,3.0,,3.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER,42.917984,-105.240693,0.06,nearest_place,,,,,Douglas,WY,Converse County,82633,US,TIGER/Line® dataset from the US Census Bureau
2268,2015,WYOMING PIPELINE COMPANY,43.788581,-104.4167833,CRUDE OIL,1.0,,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.790644,-104.418535,0.96,nearest_street,933,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2269,2015,WYOMING PIPELINE COMPANY,43.635,-104.31806,CRUDE OIL,2.0,,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.635,-104.31806,0.03,nearest_place,,,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2277,2015,WYOMING PIPELINE COMPANY,43.635,-104.3180556,CRUDE OIL,0.5,,0.5,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.635,-104.318056,0.03,nearest_place,,,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2289,2015,WYOMING PIPELINE COMPANY,43.9567944,-104.6031611,CRUDE OIL,35.0,,35.0,NO,,NO,,NO,CARBON STEEL,MECHANICAL PUNCTURE,,43.956794,-104.603161,0.31,nearest_place,,,,,Upton,WY,Weston County,82730,US,TIGER/Line® dataset from the US Census Bureau
2315,2015,DOUBLE H,42.133334,-104.425221,CRUDE OIL,145.0,,139.42,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,42.132715,-104.420627,0.95,nearest_street,8025,Rd 25,,,Lingle,WY,Goshen County,82223,US,TIGER/Line® dataset from the US Census Bureau
2318,2015,"EXPRESS HOLDINGS (USA), LLC",42.864441,-106.408738,CRUDE OIL,162.0,,162.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,42.864396,-106.408268,1.0,rooftop,5800,Zero Rd,,,Casper,WY,Natrona County,82604,US,Natrona
2323,2015,WYOMING PIPELINE COMPANY,43.6666,-105.06791,CRUDE OIL,2.0,,2.0,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,43.66457,-105.067597,0.96,nearest_street,4450,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2337,2015,PHILLIPS 66 PIPELINE LLC,41.800416,-107.109865,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,260.0,,260.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,41.800416,-107.109865,0.35,nearest_place,,,,,Sinclair,WY,Carbon County,82334,US,TIGER/Line® dataset from the US Census Bureau
2345,2015,WYOMING PIPELINE COMPANY,43.666603,-105.067905,CRUDE OIL,1.0,,1.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,43.66457,-105.067597,0.96,nearest_street,4450,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2349,2015,WYOMING PIPELINE COMPANY,43.841176,-104.255425,CRUDE OIL,2.0,,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.839284,-104.25136,0.95,nearest_street,42,Morrissey Rd,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2358,2015,MARATHON PIPE LINE LLC,43.861789,-108.166073,CRUDE OIL,3.5,,3.5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,43.861489,-108.167817,0.99,rooftop,82,Cottonwood,,,Worland,WY,Washakie County,82401,US,Statewide
2360,2015,WYOMING PIPELINE COMPANY,43.2180944,-104.432967,CRUDE OIL,40.0,,40.0,NO,,NO,,NO,CARBON STEEL,OTHER,,43.218094,-104.432967,0.05,nearest_place,,,,,Lance Creek,WY,Niobrara County,82222,US,TIGER/Line® dataset from the US Census Bureau
2408,2015,PHILLIPS 66 PIPELINE LLC,44.66547,-106.90261,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,3.7,,3.7,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,44.665355,-106.902998,1.0,rooftop,3404,US Hwy 87,,,Sheridan,WY,Sheridan County,82801,US,Statewide
2425,2015,"EXPRESS HOLDINGS (USA), LLC",42.864441,-106.408738,CRUDE OIL,0.2,,0.2,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,42.864396,-106.408268,1.0,rooftop,5800,Zero Rd,,,Casper,WY,Natrona County,82604,US,Natrona
2458,2015,WYOMING PIPELINE COMPANY,43.788761,-104.415602,CRUDE OIL,0.5,,0.5,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.791087,-104.417061,0.96,nearest_street,930,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
2472,2015,DOUBLE H,42.226368,-104.717467,CRUDE OIL,0.3,,0.3,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,42.226779,-104.716194,0.97,nearest_street,72,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
2476,2015,"TALLGRASS PONY EXPRESS PIPELINE, LLC",41.828677,-104.352722,CRUDE OIL,300.0,,300.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,41.828763,-104.352711,1.0,rooftop,3156,Road 38,,,Yoder,WY,Goshen County,82244,US,Goshen
2507,2015,WYOMING PIPELINE COMPANY,43.788761,-104.415602,CRUDE OIL,6.5,,6.5,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.791087,-104.417061,0.96,nearest_street,930,State Hwy 450,,,Newcastle,WY,Weston County,82701,US,TIGER/Line® dataset from the US Census Bureau
