,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2845,2014,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",41.1274,-104.7907,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.0,,1.0,NO,,NO,,,CARBON STEEL,OVERFILL OR OVERFLOW,,41.128799,-104.793305,0.96,nearest_street,1600,E 5th St,,,Cheyenne,WY,Laramie County,82007,US,TIGER/Line® dataset from the US Census Bureau
2846,2014,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",41.1274,-104.7907,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.0,,4.0,NO,,NO,,,CARBON STEEL,OVERFILL OR OVERFLOW,,41.128799,-104.793305,0.96,nearest_street,1600,E 5th St,,,Cheyenne,WY,Laramie County,82007,US,TIGER/Line® dataset from the US Census Bureau
2851,2014,WYOMING PIPELINE COMPANY,43.3831,-104.2457,CRUDE OIL,1.0,,1.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.3831,-104.2457,0.05,nearest_place,,,,,Redbird,WY,Niobrara County,82225,US,TIGER/Line® dataset from the US Census Bureau
2925,2014,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",41.126883,-104.791108,CRUDE OIL,30.0,,29.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,41.128799,-104.793305,0.96,nearest_street,1600,E 5th St,,,Cheyenne,WY,Laramie County,82007,US,TIGER/Line® dataset from the US Census Bureau
2981,2014,"ONEOK NGL PIPELINE, LLC",43.114444,-105.8525,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.0,1689.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,43.114444,-105.8525,0.02,nearest_place,,,,,Evansville,WY,Converse County,82636,US,TIGER/Line® dataset from the US Census Bureau
3005,2014,PHILLIPS 66 PIPELINE LLC,41.529826,-109.393141,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.9,,0.9,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,41.529907,-109.394419,0.99,nearest_street,,US 30,,,Green River,WY,Sweetwater County,82935,US,TIGER/Line® dataset from the US Census Bureau
3044,2013,"PLAINS PIPELINE, L.P.",41.5652,-109.9803,CRUDE OIL,0.48,,0.48,NO,,NO,,NO,,LEAK,PINHOLE,41.571128,-109.987544,0.93,nearest_street,398,Old Little America Rd,,,Granger,WY,Sweetwater County,82934,US,TIGER/Line® dataset from the US Census Bureau
3055,2013,"THUNDER BASIN PIPELINE, LLC",42.917984,-105.240693,CRUDE OIL,15.0,,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,42.917984,-105.240693,0.06,nearest_place,,,,,Douglas,WY,Converse County,82633,US,TIGER/Line® dataset from the US Census Bureau
3141,2013,"PLAINS PIPELINE, L.P.",41.8458333,-106.2038889,CRUDE OIL,6.0,,6.0,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,41.845833,-106.203889,0.15,nearest_place,,,,,Medicine Bow,WY,Carbon County,82329,US,TIGER/Line® dataset from the US Census Bureau
3175,2013,"PLAINS PIPELINE, L.P.",42.9916667,-106.7119444,CRUDE OIL,125.0,,125.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,42.991667,-106.711944,0.1,nearest_place,,,,,Casper,WY,Natrona County,82605,US,TIGER/Line® dataset from the US Census Bureau
3227,2013,BELLE FOURCHE PIPELINE CO,43.992624,-104.388373,CRUDE OIL,135.0,,130.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,43.99873,-104.380944,0.93,nearest_street,100,Skull Creek Rd,,,Upton,WY,Weston County,82730,US,TIGER/Line® dataset from the US Census Bureau
3359,2013,BELLE FOURCHE PIPELINE CO,44.460839,-105.576613,CRUDE OIL,300.0,,285.0,NO,,NO,,,CARBON STEEL,OVERFILL OR OVERFLOW,,44.461059,-105.576912,1.0,rooftop,23,Collins Rd,,,Gillette,WY,Campbell County,82716,US,Campbell
3373,2013,"PLAINS PIPELINE, L.P.",41.6877778,-107.98,CRUDE OIL,15.0,0.0,15.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,41.687572,-107.980094,1.0,rooftop,85,County Rd 4,,,Wamsutter,WY,Sweetwater County,82336,US,Sweetwater
3436,2012,MARATHON PIPE LINE LLC,44.815919,-108.4989,CRUDE OIL,0.7,0.0,0.7,NO,,NO,,YES,,LEAK,SEAL OR PACKING,44.815486,-108.498905,1.0,rooftop,1296,Rd 6,,,Byron,WY,Big Horn County,82412,US,Big Horn
3469,2012,SUNCOR ENERGY (USA) PIPELINE CO.,42.225925,-104.686441,CRUDE OIL,20.0,,15.0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,42.226619,-104.687501,0.97,nearest_street,214,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
3475,2012,"PLAINS PIPELINE, L.P.",43.2930556,-107.625,CRUDE OIL,7.5,0.0,7.5,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,43.293574,-107.624431,1.0,rooftop,3233,Badwater Rd,,,Lysite,WY,Fremont County,82642,US,Fremont
3495,2012,KEY PIPELINE LIMITED,42.11445,-104.564875,CRUDE OIL,200.0,,0.0,NO,,NO,,YES,CARBON STEEL,OTHER,,42.113985,-104.556662,0.93,nearest_street,722,Rd 11,,,Fort Laramie,WY,Goshen County,82212,US,TIGER/Line® dataset from the US Census Bureau
3519,2012,BELLE FOURCHE PIPELINE CO,42.222753,-104.694064,CRUDE OIL,20.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,42.22663,-104.69353,0.95,nearest_street,165,Tank Farm Rd,,,Guernsey,WY,Platte County,82214,US,TIGER/Line® dataset from the US Census Bureau
3559,2012,"PLAINS PIPELINE, L.P.",43.8516667,-106.4083333,CRUDE OIL,20.0,,20.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,43.851667,-106.408333,0.04,nearest_place,,,,,Kaycee,WY,Johnson County,82639,US,TIGER/Line® dataset from the US Census Bureau
3562,2012,"PLAINS PIPELINE, L.P.",43.8516667,-106.4083333,CRUDE OIL,0.36,0.0,0.36,NO,,NO,,YES,,LEAK,SEAL OR PACKING,43.851667,-106.408333,0.04,nearest_place,,,,,Kaycee,WY,Johnson County,82639,US,TIGER/Line® dataset from the US Census Bureau
3593,2012,"PLAINS PIPELINE, L.P.",41.6872222,-107.9802778,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,YES,,LEAK,OTHER,41.687572,-107.980094,1.0,rooftop,85,County Rd 4,,,Wamsutter,WY,Sweetwater County,82336,US,Sweetwater
3649,2012,MARATHON PIPE LINE LLC,44.81602,-108.49913,CRUDE OIL,0.14,0.0,0.14,NO,,NO,,YES,,LEAK,OTHER,44.815486,-108.498905,1.0,rooftop,1296,Rd 6,,,Byron,WY,Big Horn County,82412,US,Big Horn
3770,2012,SINCLAIR TRANSPORTATION COMPANY,42.854803,-106.41171,CRUDE OIL,440.0,0.0,245.0,NO,,NO,,,CARBON STEEL,OTHER,,42.856239,-106.41368,0.96,nearest_street,654,Jc Rd,,,Casper,WY,Natrona County,82604,US,TIGER/Line® dataset from the US Census Bureau
3794,2012,MARATHON PIPE LINE LLC,44.817233,-108.501412,CRUDE OIL,1.5,0.0,1.5,NO,,NO,,NO,,LEAK,OTHER,44.80646,-108.50739,0.91,nearest_street,1338,Rd 5,,,Powell,WY,Big Horn County,82435,US,TIGER/Line® dataset from the US Census Bureau
3837,2011,BELLE FOURCHE PIPELINE CO,44.021949,-105.538019,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1958.0,,53.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,44.021949,-105.538019,0.08,nearest_place,,,,,Gillette,WY,Campbell County,82718,US,TIGER/Line® dataset from the US Census Bureau
3883,2011,CONOCOPHILLIPS,44.665449,-106.902904,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.48,0.0,0.0,NO,,NO,,,,OVERFILL OR OVERFLOW,,44.665355,-106.902998,1.0,rooftop,3404,US Hwy 87,,,Sheridan,WY,Sheridan County,82801,US,Statewide
3889,2011,MARATHON PIPE LINE LLC,43.860695,-108.163483,CRUDE OIL,96.0,0.0,96.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,43.859317,-108.163224,0.97,nearest_street,744,Winchester Dr,,,Worland,WY,Washakie County,82401,US,TIGER/Line® dataset from the US Census Bureau
4021,2011,"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC",42.5783333,-107.14709,CRUDE OIL,0.46,0.0,0.46,NO,,NO,,YES,,LEAK,CRACK,42.578333,-107.14709,0.02,nearest_place,,,,,Alcova,WY,Natrona County,82620,US,TIGER/Line® dataset from the US Census Bureau
4065,2011,MARATHON PIPE LINE LLC,44.815639,-108.498916,CRUDE OIL,80.0,0.0,80.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,44.815486,-108.498905,1.0,rooftop,1296,Rd 6,,,Byron,WY,Big Horn County,82412,US,Big Horn
4092,2011,ONEOK NGL PIPELINE LP,41.7731,-110.3453,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.99,0.1,0.0,NO,,NO,,NO,,LEAK,SEAL OR PACKING,41.7731,-110.3453,0.14,nearest_place,,,,,Opal,WY,Lincoln County,83124,US,TIGER/Line® dataset from the US Census Bureau
4136,2011,BELLE FOURCHE PIPELINE CO,43.42656,-104.91426,CRUDE OIL,30.0,,20.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,43.421769,-104.91475,0.94,nearest_street,2835,Dull Center Rd,,,Douglas,WY,Converse County,82633,US,TIGER/Line® dataset from the US Census Bureau
4263,2010,CONOCOPHILLIPS,42.855444,-106.246861,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,10.0,0.0,0.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,,42.854881,-106.245136,0.99,rooftop,352,Blackmore Rd,,,Evansville,WY,Natrona County,82636,US,Natrona
4326,2010,SUNCOR ENERGY (USA) PIPELINE CO.,41.123379,-104.783855,CRUDE OIL,30.0,0.0,25.0,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,41.123048,-104.783079,1.0,rooftop,199,Morrie Ave,,,Cheyenne,WY,Laramie County,82007,US,Laramie
4331,2010,BELLE FOURCHE PIPELINE CO,42.20753,-104.51014,CRUDE OIL,0.36,0.0,0.24,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,42.207335,-104.511682,0.99,rooftop,1543,US Highway 26,,,Fort Laramie,WY,Goshen County,82212,US,Goshen
4405,2010,"BRIDGER LAKE, LLC",41.184974,-110.410612,CRUDE OIL,0.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,41.184672,-110.410404,1.0,rooftop,12047,State Hwy 410,,,Mountain View,WY,Uinta County,82939,US,Statewide
